No,Nombre actividad,Costo,Presupuesto,Tiempo invertido,"Tipo (Alimentos/salud, ahorro/inversión, ejercicio/deporte, entretenimiento/ocio, académico, transporte)",Momento,No. de personas
1,Comida,70,100,60,1,2,1
2,Gasolina,107,150,10,6,2,2
3,Gasolina,108,150,10,6,1,1
4,Comida,100,200,30,1,2,1
5,Cena,250,500,70,1,3,7
6,Gasolina,100,100,10,6,2,2
7,Gasolina,100,150,10,6,1,4
8,Gasolina,110,150,10,6,1,2
9,OXXO,26,200,5,1,2,1
10,Cine,300,500,160,4,3,2
11,Comida,130,0,120,1,3,7
12,Boliche,130,0,60,4,3,7
13,Gasolina,100,150,20,6,2,2
14,Comprar libro,400,500,15,4,2,1
15,Oxxo,50,0,5,1,1,2
16,Comida,100,0,30,1,2,1
17,Cena,150,200,50,1,3,6
18,Gasolina,100,150,10,6,2,4
19,Gasolina,100,150,10,6,3,3
20,Comida,250,500,60,1,2,3
21,Gasolina,100,150,10,6,3,2
22,OXXO,50,0,5,1,1,1
23,Gasolina,110,150,15,6,2,1
24,Comida,100,0,20,1,2,1
25,Gasolina,140,150,10,6,3,1
26,Comida,90,200,40,1,3,1
27,Comida,1257,500,60,1,2,11
28,Gasolina,115,100,10,6,3,2
29,Reto Actinver,435,500,5,2,3,1
30,OXXO,70,200,5,1,1,2
31,Comida,300,400,70,1,3,6
32,Desayuno,270,500,60,1,1,3
33,OXXO,39,200,5,1,2,2
34,Comida,210,300,40,1,3,7
35,OXXO,25,100,5,1,1,1
36,Dentista,400,500,40,1,2,1
37,Corte de pelo,200,200,30,4,2,1
38,OXXO,44,150,5,1,1,2
39,OXXO,54,300,5,1,2,2
40,Oxxo,25,100,2,1,1,2
41,Desayuno,80,0,20,1,1,2
42,Gasolina,107,150,10,6,3,1
43,Comida,90,0,40,1,2,1
44,Gasolina,110,150,10,6,1,1
45,Comida,250,250,60,1,2,4
46,Inversion,250,0,10,2,2,5
47,Netflix,11,14,30,4,2,1
48,Spotify,9,10,30,4,2,1
49,HBO,13,15,30,4,2,1
50,Disney +,10,10,30,4,2,1
51,Vix +,7,10,30,4,2,1
52,Comida,70,100,60,1,2,1
53,Gasolina,107,150,10,6,2,2
54,Gasolina,108,150,10,6,1,1
55,Netflix,11,14,30,4,2,1
56,Spotify,9,10,30,4,2,1
57,HBO,13,15,30,4,2,1
58,Disney +,10,10,30,4,2,1
59,Vix +,7,10,30,4,2,1
60,Comida,100,200,30,1,2,1
61,Gasolina,100,100,10,6,2,2
62,Gasolina,100,150,10,6,1,4
63,Gasolina,110,150,10,6,1,2
64,OXXO,26,200,5,1,2,1
65,Netflix,11,14,30,4,2,1
66,Spotify,9,10,30,4,2,1
67,HBO,13,15,30,4,2,1
68,Disney +,10,10,30,4,2,1
69,Vix +,7,10,30,4,2,1
70,Gasolina,100,150,20,6,2,2
71,Oxxo,50,0,5,1,1,2
72,Comida,100,0,30,1,2,1
73,Gasolina,100,150,10,6,2,4
74,Gasolina,100,150,10,6,3,3
75,Netflix,11,14,30,4,2,1
76,Spotify,9,10,30,4,2,1
77,HBO,13,15,30,4,2,1
78,Disney +,10,10,30,4,2,1
79,Vix +,7,10,30,4,2,1
80,Comida,250,500,60,1,2,3
81,Gasolina,100,150,10,6,3,2
82,OXXO,50,0,5,1,1,1
83,Gasolina,110,150,15,6,2,1
84,Comida,100,0,20,1,2,1
85,Netflix,11,14,30,4,2,1
86,Spotify,9,10,30,4,2,1
87,HBO,13,15,30,4,2,1
88,Disney +,10,10,30,4,2,1
89,Vix +,7,10,30,4,2,1
90,Gasolina,140,150,10,6,3,1
91,Comida,90,200,40,1,3,1
92,Comida,1500,500,60,1,2,11
93,Gasolina,115,100,10,6,3,2
94,Netflix,11,14,30,4,2,1
95,Spotify,9,10,30,4,2,1
96,HBO,13,15,30,4,2,1
97,Disney +,10,10,30,4,2,1
98,Vix +,7,10,30,4,2,1
99,OXXO,70,200,5,1,1,2
100,Comida,300,400,70,1,3,6
101,Desayuno,270,500,60,1,1,3
102,OXXO,39,200,5,1,2,2
103,Netflix,11,14,30,4,2,1
104,Spotify,9,10,30,4,2,1
105,HBO,13,15,30,4,2,1
106,Disney +,10,10,30,4,2,1
107,Vix +,7,10,30,4,2,1
108,Comida,210,300,40,1,3,7
109,OXXO,25,100,5,1,1,1
110,OXXO,44,150,5,1,1,2
111,OXXO,54,300,5,1,2,2
112,Oxxo,25,100,2,1,1,2
113,Desayuno,80,0,20,1,1,2
114,Gasolina,107,150,10,6,3,1
115,Comida,90,0,40,1,2,1
116,Netflix,11,14,30,4,2,1
117,Spotify,9,10,30,4,2,1
118,HBO,13,15,30,4,2,1
119,Disney +,10,10,30,4,2,1
120,Vix +,7,10,30,4,2,1
121,Gasolina,100,150,10,6,1,4
122,Gasolina,110,150,10,6,1,2
123,OXXO,26,200,5,1,2,1
124,Gasolina,100,150,20,6,2,2
125,Oxxo,50,0,5,1,1,2
126,Netflix,11,14,30,4,2,1
127,Spotify,9,10,30,4,2,1
128,HBO,13,15,30,4,2,1
129,Disney +,10,10,30,4,2,1
130,Vix +,7,10,30,4,2,1
131,Comida,100,0,30,1,2,1
132,Gasolina,100,150,10,6,2,4
133,Gasolina,100,150,10,6,3,3
134,Comida,250,500,60,1,2,3
135,Gasolina,100,150,10,6,3,2
136,OXXO,50,0,5,1,1,1
137,Gasolina,110,150,15,6,2,1
138,Comida,100,0,20,1,2,1
139,Netflix,11,14,30,4,2,1
140,Spotify,9,10,30,4,2,1
141,HBO,13,15,30,4,2,1
142,Disney +,10,10,30,4,2,1
143,Vix +,7,10,30,4,2,1
144,Gasolina,110,150,10,6,1,1
145,Comida,250,250,60,1,2,4
146,Netflix,11,14,30,4,2,1
147,Spotify,9,10,30,4,2,1
148,HBO,13,15,30,4,2,1
149,Disney +,10,10,30,4,2,1
150,Vix +,7,10,30,4,2,1
