Costo,Presupuesto,Tiempo invertido,"Tipo (Alimentos/salud, ahorro/inversión, ejercicio/deporte, entretenimiento/ocio, académico, transporte)",Momento,No. de personas
70,100,60,1,2,1
107,150,10,6,2,2
108,150,10,6,1,1
100,200,30,1,2,1
250,500,70,1,3,7
100,100,10,6,2,2
100,150,10,6,1,4
110,150,10,6,1,2
26,200,5,1,2,1
300,500,160,4,3,2
130,0,120,1,3,7
130,0,60,4,3,7
100,150,20,6,2,2
400,500,15,4,2,1
50,0,5,1,1,2
100,0,30,1,2,1
150,200,50,1,3,6
100,150,10,6,2,4
100,150,10,6,3,3
250,500,60,1,2,3
100,150,10,6,3,2
50,0,5,1,1,1
110,150,15,6,2,1
100,0,20,1,2,1
140,150,10,6,3,1
90,200,40,1,3,1
1257,500,60,1,2,11
115,100,10,6,3,2
435,500,5,2,3,1
70,200,5,1,1,2
300,400,70,1,3,6
270,500,60,1,1,3
39,200,5,1,2,2
210,300,40,1,3,7
25,100,5,1,1,1
400,500,40,1,2,1
200,200,30,4,2,1
44,150,5,1,1,2
54,300,5,1,2,2
25,100,2,1,1,2
80,0,20,1,1,2
107,150,10,6,3,1
90,0,40,1,2,1
110,150,10,6,1,1
250,250,60,1,2,4
250,0,10,2,2,5
11,14,30,4,2,1
9,10,30,4,2,1
13,15,30,4,2,1
10,10,30,4,2,1
7,10,30,4,2,1
70,100,60,1,2,1
107,150,10,6,2,2
108,150,10,6,1,1
11,14,30,4,2,1
9,10,30,4,2,1
13,15,30,4,2,1
10,10,30,4,2,1
7,10,30,4,2,1
100,200,30,1,2,1
100,100,10,6,2,2
100,150,10,6,1,4
110,150,10,6,1,2
26,200,5,1,2,1
11,14,30,4,2,1
9,10,30,4,2,1
13,15,30,4,2,1
10,10,30,4,2,1
7,10,30,4,2,1
100,150,20,6,2,2
50,0,5,1,1,2
100,0,30,1,2,1
100,150,10,6,2,4
100,150,10,6,3,3
11,14,30,4,2,1
9,10,30,4,2,1
13,15,30,4,2,1
10,10,30,4,2,1
7,10,30,4,2,1
250,500,60,1,2,3
100,150,10,6,3,2
50,0,5,1,1,1
110,150,15,6,2,1
100,0,20,1,2,1
11,14,30,4,2,1
9,10,30,4,2,1
13,15,30,4,2,1
10,10,30,4,2,1
7,10,30,4,2,1
140,150,10,6,3,1
90,200,40,1,3,1
1500,500,60,1,2,11
115,100,10,6,3,2
11,14,30,4,2,1
9,10,30,4,2,1
13,15,30,4,2,1
10,10,30,4,2,1
7,10,30,4,2,1
70,200,5,1,1,2
300,400,70,1,3,6
270,500,60,1,1,3
39,200,5,1,2,2
11,14,30,4,2,1
9,10,30,4,2,1
13,15,30,4,2,1
10,10,30,4,2,1
7,10,30,4,2,1
210,300,40,1,3,7
25,100,5,1,1,1
44,150,5,1,1,2
54,300,5,1,2,2
25,100,2,1,1,2
80,0,20,1,1,2
107,150,10,6,3,1
90,0,40,1,2,1
11,14,30,4,2,1
9,10,30,4,2,1
13,15,30,4,2,1
10,10,30,4,2,1
7,10,30,4,2,1
100,150,10,6,1,4
110,150,10,6,1,2
26,200,5,1,2,1
100,150,20,6,2,2
50,0,5,1,1,2
11,14,30,4,2,1
9,10,30,4,2,1
13,15,30,4,2,1
10,10,30,4,2,1
7,10,30,4,2,1
100,0,30,1,2,1
100,150,10,6,2,4
100,150,10,6,3,3
250,500,60,1,2,3
100,150,10,6,3,2
50,0,5,1,1,1
110,150,15,6,2,1
100,0,20,1,2,1
11,14,30,4,2,1
9,10,30,4,2,1
13,15,30,4,2,1
10,10,30,4,2,1
7,10,30,4,2,1
110,150,10,6,1,1
250,250,60,1,2,4
11,14,30,4,2,1
9,10,30,4,2,1
13,15,30,4,2,1
10,10,30,4,2,1
7,10,30,4,2,1
